name,parent,value
Origin,,
Textiles,Origin,2630199701
Agriculture,Origin,1439357154
Stone,Origin,57593599
Minerals,Origin,151373758
Metals,Origin,279734223
Chemicals,Origin,716700120
Vehicles,Origin,14852399
Mechinery,Origin,81041929
Electronics,Origin,370834722
Other,Origin,140464016
