name,parent,value
Origin,,
Textiles,Origin,3726667182
Agriculture,Origin,3287031689
Stone,Origin,127503142
Minerals,Origin,202878499
Metals,Origin,219898270
Chemicals,Origin,290033534
Vehicles,Origin,67997170
Mechinery,Origin,55255674
Electronics,Origin,522482641
Other,Origin,218005648
Services,Origin,2966409766
