name,parent,value
Origin,,
Textiles,Origin,1690199633
Agriculture,Origin,6835520383
Stone,Origin,147481865
Minerals,Origin,356552712
Metals,Origin,685002197
Chemicals,Origin,1610987632
Vehicles,Origin,41583704
Mechinery,Origin,166891371
Electronics,Origin,61010678
Other,Origin,180422634
