name,parent,value
Origin,,
Textiles,Origin,2700679460
Agriculture,Origin,2615620108
Stone,Origin,144201297
Minerals,Origin,150206638
Metals,Origin,149033513
Chemicals,Origin,290033534
Vehicles,Origin,57264625
Machinery,Origin,16589076
Electronics,Origin,487511528
Other,Origin,194647967
