year,Honduras,ElSalvador ,Guatemala
1995,82403282,212841895,517159307
2000,243365566,392973572,617993985
2005,546614361,602563225,981624685
2010,783207878,963565733,1975868159
2015,1270372824,1212198131,2468852636
2020,995473113,1313932212,2392314536
