name,parent,value
Origin,,
Textiles,Origin,1837025850
Agriculture,Origin,6196444439
Stone,Origin,122549698
Minerals,Origin,508191474
Metals,Origin,660890651
Chemicals,Origin,1380094171
Vehicles,Origin,42949113
Machinery,Origin,180092934
Electronics,Origin,49690306
Other,Origin,180384464
