name,parent,value
Origin,,
Textiles,Origin,1697677267
Agriculture,Origin,5325812287
Stone,Origin,379294240
Minerals,Origin,1100327268
Metals,Origin,485612580
Chemicals,Origin,1367463732
Vehicles,Origin,66719551
Mechinery,Origin,194571734
Electronics,Origin,82193409
Other,Origin,222080240
Services,Origin,3242586777
