name,parent,value
Origin,,
Textiles,Origin,2626323484
Agriculture,Origin,1386158033
Stone,Origin,62445125
Minerals,Origin,82618525
Metals,Origin,256804334
Chemicals,Origin,608205690
Vehicles,Origin,18654774
Mechinery,Origin,101503370
Electronics,Origin,202672370
Other,Origin,201072128
Services,Origin,2477082488
